title,info
Dark Skies,"['famili', 'daniel', 'lacey', 'barret', 'produc', 'paranorm', 'activ', 'insidi', 'sinist', 'come']['Science Fiction', 'Thriller', 'Horror']"
Titanic,"['ship', 'name', 'rose', 'dewitt', 'bukat', 'stori', 'april', '1912', 'titan', 'year']['Drama', 'Romance', 'Thriller']"
Ant-Man,"['lang', 'must', 'pym', 'arm', 'astonish', 'abil', 'shrink', 'scale', 'increas', 'strength']['Science Fiction', 'Action', 'Adventure']"
Pan's Labyrinth,"['ofelia', 'live', 'tyrann', 'stepfath', 'new', 'home', 'pregnant', 'mother', '10yearold', 'feel']['Fantasy', 'Drama', 'War']"
The Hunger Games: Mockingjay - Part 2,"['katniss', 'presid', 'snow', 'nation', 'panem', 'full', 'scale', 'war', 'confront', 'final']['Action', 'Adventure', 'Science Fiction']"
"Monsters, Inc.","['children', 'jame', 'mike', 'afraid', 'world', 'sullivan', 'wazowski', 'monster', 'earn', 'live']['Animation', 'Comedy', 'Family']"
The Amazing Spider-Man 2,"['peter', 'gwen', 'promis', 'new', 'parker', 'life', 'busi', 'take', 'bad', 'guy']['Action', 'Adventure', 'Fantasy']"
World War Z,"['lane', 'world', 'human', 'life', 'former', 'unit', 'nation', 'investig', 'gerri', 'famili']['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']"
The Twilight Saga: Breaking Dawn - Part 2,"['birth', 'renesme', 'cullen', 'gather', 'vampir', 'clan', 'order', 'protect', 'child', 'fals']['Adventure', 'Fantasy', 'Drama', 'Romance']"
X-Men: Days of Future Past,"['ultim', 'xmen', 'ensembl', 'fight', 'war', 'surviv', 'speci', 'across', 'two', 'time']['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Zootopia,"['first', 'determin', 'prove', 'offic', 'judi', 'hopp', 'bunni', 'zootopia', 'polic', 'forc']['Animation', 'Adventure', 'Family', 'Comedy']"
The Twilight Saga: Breaking Dawn - Part 1,"['bella', 'vampir', 'edward', 'new', 'found', 'marri', 'bliss', 'swan', 'cullen', 'cut']['Adventure', 'Fantasy', 'Romance']"
